city,state,zip,grad year,linfield status,birthday,visit_date,entry_term,entry_type,recruiter_initials,offer_status,temp,recruited,visited_hs,commited_to,high_school,hs_address,hs_city,hs_state,hs_zip,hs_county,final_academic_interest,academic_field,acdemic_interest,position,Pos:  ATH,Pos:  DB,Pos:  DBC,Pos:  DBR,Pos:  DBS,Pos:  DE,Pos:  DL,Pos:  DT,Pos:  FB,Pos:  K,Pos:  LB,Pos:  LBS,Pos:  LBW,Pos:  LS,Pos:  OC,Pos:  OG,Pos:  OL,Pos:  OT,Pos:  P,Pos:  QB,Pos:  RB,Pos:  TE,Pos:  WR,height_feet,height_inches,height_in_inches,weight,rank,gpa,gpa_admissions,app_status,app_decision,app_decision_date,decision date no year,apply_date,apply_date_noyear,admissions_academic interest,linfield_grad_year,team_status,finished_football,id_type,recruited_final
Salem,OR,97304,2018,,10/25/99,2/18/18,F18,first year,,,,,TRUE,,West Salem High School,1778 Titan Dr NW,Salem,OR,97304,Polk County,Business,Business,,OT,,,,,,,,,,,,,,,,,,OT,,,,,,6,3,75,275,3,3.56,,,,1/19/18,1/19/22,11/5/17,11/5/21,,null,,FALSE,current,TRUE
Ellensburg,WA,98926,2015,,9/19/96,2/27/15,F15,first year,,,,,TRUE,,Ellensburg High School,1204 E Capitol AVE,Ellensburg,WA,98926,Kittitas County,null,null,,RB,,,,,,,,,,,,,,,,,,,,,RB,,,5,11,71,185,1,null,,,,null,,3/5/15,3/5/22,,null,Out,FALSE,stopped,TRUE
Bothell,WA,98021,2015,,4/10/97,2/20/15,F15,first year,,,,,FALSE,,Inglemoor High School,15500 Simonds Rd NE,Kenmore,WA,98028,King County,null,null,,OG,,,,,,,,,,,,,,,,OG,,,,,,,,6,3,75,330,1,null,,,,null,,3/5/15,3/5/22,,null,?,FALSE,stopped,TRUE
Hillsboro,OR,97123,2015,,12/28/96,3/6/15,F15,first year,,,,,TRUE,,Century High School,2000 SE Century Blvd,Hillsboro,OR,97123,Washington County,Physics,Engineering,,OT,,,,,,,,,,,,,,,,,,OT,,,,,,5,8,68,287,1,2.93,,,,null,,3/5/15,3/5/22,,null,Suspended,FALSE,stopped,TRUE
Alamo,CA,94507,2015,,12/9/96,2/8/15,null,null,,,,,FALSE,,Monta Vista High School,21840 Mcclellan Rd,Cupertino,CA,95014,Santa Clara County,null,null,,RB,,,,,,,,,,,,,,,,,,,,,RB,,,5,9,69,195,2,null,,,,null,,3/5/15,3/5/22,,null,Out,FALSE,stopped,TRUE
Salem,OR,97306,2015,,11/8/96,3/13/15,null,null,,,,,TRUE,,Sprague High School,2373 Kuebler Blvd,Salem,OR,97302,Marion County,Business,Business,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,6,5,77,195,2,null,,,,null,,3/5/15,3/5/22,,null,N,FALSE,stopped,TRUE
Tumwater,WA,98501,2014,,8/26/95,3/7/14,null,null,,,,,TRUE,,Tumwater High School,700 Israel Road Southwest,Tumwater,WA,98501,Thurston County,Marketing,Business,,TE,,,,,,,,,,,,,,,,,,,,,,TE,,5,6,66,220,2,null,,,,null,,3/5/15,3/5/22,,null,Out,FALSE,stopped,TRUE
Arlington,WA,98223,2015,,10/28/96,1/17/15,F15,first year,,,,,TRUE,,Arlington High School,18821 Crown Ridge Blvd,Arlington,WA,98223,Snohomish County,null,null,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,5,11,71,185,3,null,,,,null,,3/5/15,3/5/22,,null,Out,FALSE,stopped,TRUE
Coquille,OR,97423,2015,,4/24/97,1/24/15,null,null,,,,,FALSE,,Coquille High School,499 W Central Blvd,Coquille,OR,97423,Coos County,null,null,,DE,,,,,,DE,,,,,,,,,,,,,,,,,,6,1,73,210,3,null,,,,null,,3/5/15,3/5/22,,null,Out,FALSE,stopped,TRUE
Silverton,OR,97381,2014,,12/22/95,2/23/14,null,null,,,,,TRUE,,Silverton High School,1456 Pine St,Silverton,OR,97381,Marion County,null,null,,TE,,,,,,,,,,,,,,,,,,,,,,TE,,6,1,73,232,3,null,,,,null,,3/5/15,3/5/22,,null,Suspended,FALSE,stopped,TRUE
